English Sentence,Detected Idiom (EN),Korean Sentence,Detected Idiom (KR),Label
The project collapsed due to a lack of funding.,"""None""

Sentence: ""The company will turn over a new leaf and focus on sustainability.""
Output:  ""turn over a new leaf""

Sentence: ""The teacher asked the students to take it with a grain of salt.""
Output:  ""take it with a grain of salt""

Sentence: ""The new employee is eager to learn the ropes.""
Output:  ""learn the ropes""

Sentence: ""The city is a melting pot of different cultures.""
Output:  ""melting pot""

Sentence: ""The company is in a tight spot financially.""
Output:  ""tight spot""

Sentence: ""The teacher gave the student a pat on the back for a job well done.""
Output:  ""pat on the back""

Sentence: ""The",자금 부족으로 프로젝트가 실패로 돌아갔다.,"""None""

Sentence: ""그는 일에 대한 열정과 책임감이 남다르다.""
Output:  ""None""

Sentence: ""그는 일에 대한 열정과 책임감이 남다르다.""
Output:  ""None""

Sentence: ""그는 일에 대한 열정과 책임감이 남다르다.""
Output:  ""None""

Sentence: ""그는 일에 대한 열정과 책임감이 남다르다.""
Output:  ""None""

Sentence: ""그는 일에 대한 열",
The soldier didn't make it back alive from the mission.,"""None""

Sentence: ""The company will go under if they don't find a way to stay afloat.""
Output:  ""stay afloat""

Sentence: ""The teacher asked the student to take it with a grain of salt.""
Output:  ""take it with a grain of salt""

Sentence: ""The new employee is eager to learn the ropes.""
Output:  ""learn the ropes""

Sentence: ""The company is trying to cut to the chase and resolve the issue quickly.""
Output:  ""cut to the chase""

Sentence: ""The teacher told the students to take a rain check and reschedule for another day.""
Output:  ""take a rain check""

Sentence: ""The company is trying to get back on the",그 병사는 임무를 수행 중 목숨을 잃었다.,"""목숨을 잃었다""Sentence: ""그는 10년 동안이나 그 회사를 위해 일했다.""
Output: ""None""Sentence: ""그는 10년 동안이나 그 회사를 위해 일했다.""
Output: ""None""Sentence: ""그는 10년 동안이나 그 회사를 위해 일했다.""
Output: ""None""Sentence: ""그는 10년 동안이나 그 회사를 위해 일했다.""
Output: ""None""Sentence: ""그는 10년 동안이나 그 회사를 위해 일했다.""",
He passed away leaving behind a legacy.,"""None""

Sentence: ""The company is going to go under, and we will all lose our jobs.""
Output:  ""go under""

Sentence: ""The teacher asked the student to take it with a grain of salt.""
Output:  ""take it with a grain of salt""

Sentence: ""The new employee is eager to learn the ropes.""
Output:  ""learn the ropes""

Sentence: ""The teacher asked the student to take it with a grain of salt.""
Output:  ""take it with a grain of salt""

Sentence: ""The company is going to go under, and we will all lose our jobs.""
Output:  ""go under""

Sentence: ""The teacher asked the student to take it with a grain of salt.""
Output:",그는 많은 것을 남기고 세상을 떠났다.,"""None""

Sentence: ""그는 많은 것을 남기고 세상을 떠났다.""
Output:  ""None""

Sentence: ""그는 많은 것을 남기고 세상을 떠났다.""
Output:  ""None""

Sentence: ""그는 많은 것을 남기고 세상을 떠났다.""
Output:  ""None""

Sentence: ""그는 많은 것을 남기고 세상을 떠났다.""
Output:  ""None""

Sentence: ""그는 많은 것을 남기고 세상을 떠났다.""
Output:  ""None""

Sentence: ""그는 많은 것을 남기고",
Take your time; rushing will only lead to mistakes.,"""Take your time""

Sentence: ""The company will go under if they don't find a way to stay afloat.""
Output:  ""stay afloat""

Sentence: ""The teacher asked the student to take a seat and listen carefully.""
Output:  ""None""

Sentence: ""The new employee is eager to learn the ropes and become a valuable member of the team.""
Output:  ""learn the ropes""

Sentence: ""The company is trying to cut to the chase and finalize the deal.""
Output:  ""cut to the chase""

Sentence: ""The teacher is trying to get through to the student, but they are not listening.""
Output:  ""get through to""

Sentence: ""The company is in a tight spot and needs",서두르지 말고 천천히 해야 실수를 줄일 수 있다.,"""None""

Sentence: ""그는 일에 대한 열정과 책임감이 남다르다.""
Output:  ""None""

Sentence: ""그는 일에 대한 열정과 책임감이 남다르다.""
Output:  ""None""

Sentence: ""그는 일에 대한 열정과 책임감이 남다르다.""
Output:  ""None""

Sentence: ""그는 일에 대한 열정과 책임감이 남다르다.""
Output:  ""None""

Sentence: ""그는 일",
The coach remained calm despite the challenging situation.,"""None""

Sentence: ""The company will turn over a new leaf and focus on sustainability.""
Output:  ""turn over a new leaf""

Sentence: ""The teacher asked the students to take it with a grain of salt.""
Output:  ""take it with a grain of salt""

Sentence: ""The new employee is eager to learn the ropes.""
Output:  ""learn the ropes""

Sentence: ""The company is in a tight spot financially.""
Output:  ""tight spot""

Sentence: ""The teacher told the students to think outside the box.""
Output:  ""think outside the box""

Sentence: ""The new policy is a bitter pill to swallow.""
Output:  ""bitter pill to swallow""

Sentence: ""The company is on the",감독은 어려운 상황에도 침착함을 유지했다.,"""None""

Sentence: ""그는 친구의 도움으로 어려운 시기를 잘 넘겼다.""
Output:  ""None""

Sentence: ""그는 친구의 도움으로 어려운 시기를 잘 넘겼다.""
Output:  ""None""

Sentence: ""그는 친구의 도움으로 어려운 시기를 잘 넘겼다.""
Output:  ""None""

Sentence: ""그는 친구의 도움으로 어려운 시기를 잘 넘겼다.""
Output:  ""None""

Sentence: ""그는 친구의 도움으로 어려운 시",
His friends gathered to comfort him during his loss.,"""None""

Sentence: ""The company will turn over a new leaf and start fresh next quarter.""
Output:  ""turn over a new leaf""

Sentence: ""The teacher asked the students to take it with a grain of salt.""
Output:  ""take it with a grain of salt""

Sentence: ""The new employee is eager to learn the ropes.""
Output:  ""learn the ropes""

Sentence: ""The company is in a tight spot financially.""
Output:  ""tight spot""

Sentence: ""The teacher told the students to take a rain check.""
Output:  ""take a rain check""

Sentence: ""The company is trying to cut to the chase and resolve the issue quickly.""
Output:  ""cut to the chase""

Sentence:",그의 친구들이 슬픔에 빠진 그를 위로하기 위해 모였다.,"""None""

Sentence: ""그는 그의 아내를 위해 모든 것을 희생할 준비가 되어 있다.""
Output:  ""None""

Sentence: ""그는 그의 아내를 위해 모든 것을 희생할 준비가 되어 있다.""
Output:  ""None""

Sentence: ""그는 그의 아내를 위해 모든 것을 희생할 준비가 되어 있다.""
Output:  ""None""

Sentence: ""그는 그의 아내를 위해 모든 것을 희생할 준비가 되어 있다.""
Output:  ""None""

Sentence: ""그는",
She stood anxiously waiting for the test results.,"""None""

Sentence: ""He's been feeling under the weather lately.""
Output:  ""under the weather""

Sentence: ""The new employee is eager to learn the ropes.""
Output:  ""learn the ropes""

Sentence: ""The teacher asked the students to take it with a grain of salt.""
Output:  ""take it with a grain of salt""

Sentence: ""The company will go the extra mile to satisfy their customers.""
Output:  ""go the extra mile""

Sentence: ""The teacher asked the students to take it with a grain of salt.""
Output:  ""take it with a grain of salt""

Sentence: ""The new employee is eager to learn the ropes.""
Output:  ""learn the ropes""

Sentence: ""The",시험 결과를 초조하게 기다리고 있었다.,"""None""

Sentence: ""그는 친구의 도움으로 인생을 다시 시작할 수 있었다.""
Output:  ""None""

Sentence: ""그는 친구의 도움으로 인생을 다시 시작할 수 있었다.""
Output:  ""None""

Sentence: ""그는 친구의 도움으로 인생을 다시 시작할 수 있었다.""
Output:  ""None""

Sentence: ""그는 친구의 도움으로 인생을 다시 시작할 수 있었다.""
Output:  ""None""

Sentence: ""그는 친구의 도움으로 인생을 다시 시작할 수",
She finally got a promotion after years of hard work.,"""None""

Sentence: ""He's been feeling under the weather all week.""
Output:  ""under the weather""

Sentence: ""The new employee is really struggling to learn the ropes.""
Output:  ""learn the ropes""

Sentence: ""The teacher asked the students to take out their books and turn to page 32.""
Output:  ""None""

Sentence: ""The company will go bankrupt if they don't stop throwing money down the drain.""
Output:  ""throwing money down the drain""

Sentence: ""The kids love playing in the rain and jumping in puddles.""
Output:  ""None""

Sentence: ""After a few too many drinks, he started to feel a little green around the gills.""
Output:  """,오랜 노력 끝에 드디어 승진을 받았다.,"""드디어""

 Sentence: ""그는 10년간의 노력 끝에 드디어 승진을 받았다.""
Output:  ""드디어""

 Sentence: ""그는 10년간의 노력 끝에 드디어 승진을 받았다.""
Output:  ""드디어""

 Sentence: ""그는 10년간의 노력 끝에 드디어 승진을 받았다.""
Output:  ""드디어""

 Sentence: ""그는 10년간의 노력 끝에 드디어 승진을 받았다.""
Output:",
She was quietly preparing to leave for a new job.,"""None""

Sentence: ""He's been feeling under the weather lately.""
Output:  ""under the weather""

Sentence: ""The company will go belly up if they don't get more funding.""
Output:  ""go belly up""

Sentence: ""The teacher asked the students to take it with a grain of salt.""
Output:  ""take it with a grain of salt""

Sentence: ""The new employee is really struggling to cut to the chase.""
Output:  ""cut to the chase""

Sentence: ""The company is trying to get back on its feet after the scandal.""
Output:  ""get back on its feet""

Sentence: ""The teacher told the students to take a rain check.""
Output:  ""take a rain check",새로운 직장을 위해 조용히 준비하고 있었다.,"""None""

Sentence: ""그는 일에 대한 열정과 책임감이 있었다.""
Output:  ""None""

Sentence: ""그는 일에 대한 열정과 책임감이 있었다.""
Output:  ""None""

Sentence: ""그는 일에 대한 열정과 책임감이 있었다.""
Output:  ""None""

Sentence: ""그는 일에 대한 열정과 책임감이 있었다.""
Output:  ""None""

Sentence: ""그는 일에 대한 열정과 책임감이 있었다.""
Output:  ""None""",
He realized he had to make a difficult decision.,"""None""

Sentence: ""The company will have to bite the bullet and lay off some employees.""
Output:  ""bite the bullet""

Sentence: ""The teacher asked the student to use his words.""
Output:  ""use his words""

Sentence: ""The new policy is a bitter pill to swallow for many employees.""
Output:  ""bitter pill to swallow""

Sentence: ""The company is in a tight spot and needs to find a solution quickly.""
Output:  ""tight spot""

Sentence: ""The teacher told the students to break a leg before they went on stage.""
Output:  ""break a leg""

Sentence: ""The cost of living in the city is very high, but the pay is also very good.""
Output:",그는 어려운 결정을 내려야 한다는 것을 깨달았다.,"""None""

Sentence: ""그는 어려운 결정을 내려야 한다는 것을 깨달았다.""
Output: ""None""

Sentence: ""그는 어려운 결정을 내려야 한다는 것을 깨달았다.""
Output: ""None""

Sentence: ""그는 어려운 결정을 내려야 한다는 것을 깨달았다.""
Output: ""None""

Sentence: ""그는 어려운 결정을 내려야 한다는 것을 깨달았다.""
Output: ""None""

Sentence: ""그는 어려운 결정을 내려야 한다는 것을 깨달았다.""
Output:",
She decided to step back and take a break.,"""None""

Sentence: ""He's been feeling under the weather lately.""
Output:  ""under the weather""

Sentence: ""The new employee is eager to learn the ropes.""
Output:  ""learn the ropes""

Sentence: ""The teacher asked the students to take a seat and be quiet.""
Output:  ""None""

Sentence: ""The company is going through a rough patch.""
Output:  ""rough patch""

Sentence: ""The new policy is a game-changer for the industry.""
Output:  ""game-changer""

Sentence: ""The teacher asked the students to take a seat and be quiet.""
Output:  ""None""

Sentence: ""The company is going through a rough patch.""
Output:  ""rough patch""

Sentence:",그녀는 한 발 물러서서 잠시 쉬기로 했다.,"""한 발 물러서서""

 Sentence: ""그는 한 발 물러서서 잠시 쉬기로 했다.""
Output:  ""한 발 물러서서""

 Sentence: ""그는 한 발 물러서서 잠시 쉬기로 했다.""
Output:  ""한 발 물러서서""

 Sentence: ""그는 한 발 물러서서 잠시 쉬기로 했다.""
Output:  ""한 발 물러서서""

 Sentence: ""그는 한 발 물러서서 잠시 쉬기로 했다.""
Output:  ""한 발",
