Sentence,Label,Model_Prediction,ans
 그렇게 주인을 지키려 했던 충직한 개는 한 줌 재가 되어버렸다.,한 줌 재가 되다,한 줌 재,o
 그는 한 줌 재가 되어서도 사람들의 기억 속에 강하게 남았다.,한 줌 재가 되다,한 줌 재가 되다,o
 급히 먹는 밥이 목이 멘다고 그렇게 서두르다가 사고치지 말고 천천히 해라.,급히 먹는 밥이 목이 멘다,급히 먹는 밥이 목이 멘다,o
 단 0.5점 차이로 시험에 떨어진 나는 이를 갈며 1년을 더 공부해야 했다.,이 갈리다,이를 갈며,o
 계속된 실수에 주눅든 막내는 뒤웅박 신고 얼음판에 선 것 같은 기분으로 일하기 시작했다.,뒤웅박 신고 얼음판에 선 것 같다,뒤웅박 신고,x
 능력도 없이 덜컥 외제차를 샀다간 고슴되치 외 따 지는 수가 있다.,고슴도치 외 따 지듯,고슴도치 밟다,x
 본인의 무능을 감추고자 부하들을 혼내고 닦달하기만 하는 상사에 질린 사람들은 쓸 줄 모르는 것이 책부터 나무란다며 그를 뒷담화했다.,쓸 줄 모르는 것이 책부터 나무란다,뒷담화,x
 걱정했던 것과 다르게 그 면접은 주먹으로 물 찧기였다.,주먹으로 물 찧기,주먹으로 물 찧기,o
 사업 실패로 갚지 못할 빚을 잔뜩 진 그는 한 줌 재가 되는 길을 택했다.,한 줌 재가 되다,한 줌 재가 되는,o
 그 소방관은 불 속에서 사람을 구하다 한 줌 재가 되어 우리들의 마음속에 묻혔습니다.,한 줌 재가 되다,한 줌 재가 되어,o
 머리 나쁘고 성격 안좋기로 꼬리표 붙은 것 치고는 직접 만나보니 괜찮은 사람이었다.,꼬리표 붙다,꼬리표 붙다,o
 내 동생이 나보다 먼저 여친과 날 잡는 이야기를 하는 것을 보니 조금 씁쓸하네.,날 잡다,날 잡다,o
 손주들의 정성들어간 선물을 받고 할아버지는 잔치날에 큰상 받은 기분을 느꼈다고 한다.,잔치날에 큰상 받는 기분,잔치날에 큰상 받은,x
 주장이 레드카드를 받은 그 날 엎친 데 덮친 격으로 에이스 선수가 부상을 당하며 그 팀은 탈락 위기를 맞았다.,엎친 데 덮치다,엎친 데 덮친 격,o
 그 휴대폰의 신기능은 설명을 들어도 모르겠는게 외 얽고 벽 친 기분이었다.,외 얽고 벽 친다,외 얽고 벽 친,o
 그 공연은 몹시 즐거웠고 관객들은 전부 입이 가로 터졌다.,입이 가로 터지다,입이 가로 터지다,o
 어차피 살 시간이 얼마 남지 않았는데 한 줌 재가 되기 전에 좋은 일을 많이 해야겠다.,한 줌 재가 되다,한 줌 재가 되기,o
 매치포인트의 경기를 지켜보는 국민 모두가 뒤웅박 신고 얼음판에 선 것 같이 긴장하고 있었다.,뒤웅박 신고 얼음판에 선 것 같다,뒤웅박 신고,x
 그가 정말 화난 모습을 보면 자연스럽게 간이 오그라들기 마련이다.,간이 오그라들다,간이 오그라들다,o
 우리 아버지는 검은 머리 파 뿌리 되도록 사시면서도 감기 한번 걸리는 일 없었다.,검은 머리 파 뿌리 되도록,검은 머리 파 뿌리,o
 그 부대는 지휘관을 잃자마자 손쉽게 무릎 꿇고 말았다.,무릎 꿇다,무릎 꿇다,o
 모두 가짜라는 것을 알고 있는데도 그 공포의 집에 들어간 순간 간이 오그라들었다.,간이 오그라들다,간이 오그라들다,o
 가족을 먹여살리고자 밤낮 없이 일하다 불의의 사고로 한 줌 재가 되어버린 그가 남긴 자산을 그리 많지 않았다.,한 줌 재가 되다,한 줌,x
 우리가 매일 발 뻗고 잘 수 있는건 군인들의 노고가 있기 때문이다.,발 뻗고 자다,발 뻗다,x
 나는 오늘 당한 억울한 일 생각에 이가 갈려 잠을 설쳤다.,이 갈리다,이가 갈리다,o
 웬 밤이슬 맞는 놈이 내 자전거를 가져갔어!,밤이슬 맞는 놈,웬 밤이슬,x
 그 가족의 이야기는 모두의 눈뿌리를 뜨거워지게 하였다.,눈뿌리가 뜨겁다,눈뿌리,o
 그 경기장에서 일하면 돈도 벌면서 경기도 공짜로 보니 굿도 볼 겸 떡도 먹을 겸 아니겠어?,굿도 볼 겸 떡도 먹을 겸,굿도 볼 겸 떡도 먹을 겸,o
 반칙까지 써가면서 경기를 했음에도 득점을 못하자 그들은 결국 무릎 꿇고 말았다.,무릎 꿇다,무릎 꿇다,o
 그 교관님은 첫날부터 우리를 될 수 있는 대로 뛰게 만들었다.,될 수 있는 대로,될 수 있는 대로,o
 비리를 들킨 김 과장은 끝끝내 콩밥 맛을 보고야 말았다.,콩밥 맛을 보다,콩밥,x
 복권이 당첨된 아저씨는 입이 가로 터져 소리 질렀다.,입이 가로 터지다,입이 가로 터지다,o
